Item,Sub Item,"Unit Name e.g. litre, gram","Unit qty i.e. 1.5, 1, etc",Grams,Cal.,Protein,Fat,Carbs,Fiber,"eat type , in = 1, out = 0",extra units qty,Meal applied to,Exclusive to
Bread / Breakfast Carbs,"BREAD,MULTI/WHL GRAIN",slice,0.5,13,34,1.7,0.5,5.6,1,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",1,
,"BREAD,PITA,WHOLE-WHEAT",pita (6.5 dia),0.5,32,85,3.1,8,17.6,2.4,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",3,
,"ENGLISH MUFFINS,MIXED-GRAIN",cup,0.5,33,78,3,0.6,15.3,0.9,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"FRENCH TOAST,PREP FROM RECIPE",slice,0.5,32.5,74,2.5,3.5,8.1,0,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"PANCAKES,PLN,PREP FROM RECIPE",pancake,0.5,19,43,1.2,1.8,5.4,0,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
Cereals,CEREALS FROSTED CHEERIOS,cup,0.5,18.7,73,1.3,0.7,15.5,0.8,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,CEREALS CRISPY RICE,cup,0.5,13.2,48,0.9,0.2,11.4,0.1,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,CEREALS CORN POPS,cup,0.5,15.5,59,0.6,0.1,14,0.1,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"CEREALS WHEAT GERM,TSTD,PLN",cup,0.5,56.5,216,16.4,6,28,8.5,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"CEREALS MULTIGRAIN OATS,DRY",cup,1,80,266,9,2.1,58.8,9.6,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",1,
